A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1640198
Episode 1, Reward: -21.0, Mean Loss: 5.376073228127045, Number of Steps: 764
each episode takes approx. 3.1439008712768555 seconds
Episode 2, Reward: -21.0, Mean Loss: 5.42499509781443, Number of Steps: 764
Episode 3, Reward: -21.0, Mean Loss: 5.3907307829532325, Number of Steps: 764
Episode 4, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 5, Reward: -21.0, Mean Loss: 5.478676111910356, Number of Steps: 764
Episode 6, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 7, Reward: -21.0, Mean Loss: 5.478676111910356, Number of Steps: 764
Episode 8, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 9, Reward: -21.0, Mean Loss: 5.412717115192513, Number of Steps: 764
Episode 10, Reward: -21.0, Mean Loss: 5.488574522328002, Number of Steps: 764
Episode 11, Reward: -21.0, Mean Loss: 5.471347334497262, Number of Steps: 764
Episode 12, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 13, Reward: -21.0, Mean Loss: 5.532547186806564, Number of Steps: 764
Episode 14, Reward: -21.0, Mean Loss: 5.42499509781443, Number of Steps: 764
Episode 15, Reward: -21.0, Mean Loss: 5.434703447431794, Number of Steps: 764
Episode 16, Reward: -21.0, Mean Loss: 5.578899423489396, Number of Steps: 764
Episode 17, Reward: -21.0, Mean Loss: 5.407957970783973, Number of Steps: 764
Episode 18, Reward: -21.0, Mean Loss: 5.512940426771554, Number of Steps: 764
Episode 19, Reward: -21.0, Mean Loss: 5.476296539706086, Number of Steps: 764
Episode 20, Reward: -21.0, Mean Loss: 5.461638984879898, Number of Steps: 764
Episode 21, Reward: -21.0, Mean Loss: 5.417666320401336, Number of Steps: 764
Episode 22, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 23, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 24, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 25, Reward: -21.0, Mean Loss: 5.471347334497262, Number of Steps: 764
Episode 26, Reward: -21.0, Mean Loss: 5.454310207466804, Number of Steps: 764
Episode 27, Reward: -21.0, Mean Loss: 5.471537395297545, Number of Steps: 764
Episode 28, Reward: -21.0, Mean Loss: 5.385971638544691, Number of Steps: 764
Episode 29, Reward: -21.0, Mean Loss: 5.434893508232077, Number of Steps: 764
Episode 30, Reward: -21.0, Mean Loss: 5.52521840939347, Number of Steps: 764
Episode 31, Reward: -21.0, Mean Loss: 5.403008765575149, Number of Steps: 764
Episode 32, Reward: -21.0, Mean Loss: 5.388351210748962, Number of Steps: 764
Episode 33, Reward: -21.0, Mean Loss: 5.434703447431794, Number of Steps: 764
Episode 34, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 35, Reward: -21.0, Mean Loss: 5.461638984879898, Number of Steps: 764
Episode 36, Reward: -21.0, Mean Loss: 5.412717115192513, Number of Steps: 764
Episode 37, Reward: -21.0, Mean Loss: 5.466588190088721, Number of Steps: 764
Episode 38, Reward: -21.0, Mean Loss: 5.449361002257981, Number of Steps: 764
Episode 39, Reward: -21.0, Mean Loss: 5.434703447431794, Number of Steps: 764
Episode 40, Reward: -21.0, Mean Loss: 5.461638984879898, Number of Steps: 764
Episode 41, Reward: -21.0, Mean Loss: 5.527788042398023, Number of Steps: 764
Episode 42, Reward: -21.0, Mean Loss: 5.446981430053711, Number of Steps: 764
Episode 43, Reward: -21.0, Mean Loss: 5.442032224844888, Number of Steps: 764
