A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  533
Episode 1, Reward: 0.0, Mean Loss: 7.513376883374966, Number of Steps: 123
each episode takes approx. 6.79717230796814 seconds
Episode 2, Reward: 0.0, Mean Loss: 7.51772777369765, Number of Steps: 122
Episode 3, Reward: 0.0, Mean Loss: 7.497776824919904, Number of Steps: 122
Episode 4, Reward: 0.0, Mean Loss: 7.514549626678717, Number of Steps: 122
Episode 5, Reward: 0.0, Mean Loss: 7.486878027681445, Number of Steps: 122
Episode 6, Reward: 0.0, Mean Loss: 7.515039264178667, Number of Steps: 122
Episode 7, Reward: 0.0, Mean Loss: 7.5154788298685045, Number of Steps: 122
Episode 8, Reward: 0.0, Mean Loss: 7.5164046600216725, Number of Steps: 122
Episode 9, Reward: 0.0, Mean Loss: 7.485724171654123, Number of Steps: 122
Episode 10, Reward: 0.0, Mean Loss: 7.51730908722174, Number of Steps: 122
Episode 11, Reward: 0.0, Mean Loss: 7.474831346605645, Number of Steps: 122
Episode 12, Reward: 0.0, Mean Loss: 7.515706777572632, Number of Steps: 122
Episode 13, Reward: 0.0, Mean Loss: 7.484675958508351, Number of Steps: 122
Episode 14, Reward: 0.0, Mean Loss: 7.497867291090919, Number of Steps: 122
Episode 15, Reward: 0.0, Mean Loss: 7.512498593721234, Number of Steps: 122
Episode 16, Reward: 0.0, Mean Loss: 7.514265834308062, Number of Steps: 122
Episode 17, Reward: 0.0, Mean Loss: 7.499289950386423, Number of Steps: 122
Episode 18, Reward: 0.0, Mean Loss: 7.498180264332255, Number of Steps: 122
Episode 19, Reward: 0.0, Mean Loss: 7.515958555409165, Number of Steps: 122
Episode 20, Reward: 0.0, Mean Loss: 7.484803328748609, Number of Steps: 122
Episode 21, Reward: 0.0, Mean Loss: 7.487676999608024, Number of Steps: 122
Episode 22, Reward: 0.0, Mean Loss: 7.470856400786853, Number of Steps: 122
Episode 23, Reward: 0.0, Mean Loss: 7.498071522009178, Number of Steps: 122
Episode 24, Reward: 0.0, Mean Loss: 7.49500400902795, Number of Steps: 122
Episode 25, Reward: 0.0, Mean Loss: 7.501856467762932, Number of Steps: 122
Episode 26, Reward: 0.0, Mean Loss: 7.513014726951474, Number of Steps: 122
Episode 27, Reward: 0.0, Mean Loss: 7.514129267364252, Number of Steps: 122
Episode 28, Reward: 0.0, Mean Loss: 7.500676338789893, Number of Steps: 122
Episode 29, Reward: 0.0, Mean Loss: 7.485604008690256, Number of Steps: 122
Episode 30, Reward: 0.0, Mean Loss: 7.517111383500646, Number of Steps: 122
Episode 31, Reward: 0.0, Mean Loss: 7.49678596512216, Number of Steps: 122
Episode 32, Reward: 0.0, Mean Loss: 7.510599425581635, Number of Steps: 122
Episode 33, Reward: 0.0, Mean Loss: 7.518967417419934, Number of Steps: 122
Episode 34, Reward: 0.0, Mean Loss: 7.4734227618233104, Number of Steps: 122
Episode 35, Reward: 0.0, Mean Loss: 7.5162017970788675, Number of Steps: 122
Episode 36, Reward: 0.0, Mean Loss: 7.513678351386648, Number of Steps: 122
Episode 37, Reward: 0.0, Mean Loss: 7.516376401557297, Number of Steps: 122
Episode 38, Reward: 0.0, Mean Loss: 7.489010771767038, Number of Steps: 122
Episode 39, Reward: 0.0, Mean Loss: 7.498617226960229, Number of Steps: 122
Episode 40, Reward: 0.0, Mean Loss: 7.5011909867896405, Number of Steps: 122
Episode 41, Reward: 0.0, Mean Loss: 7.517223448049827, Number of Steps: 122
Episode 42, Reward: 0.0, Mean Loss: 7.515804705072622, Number of Steps: 122
Episode 43, Reward: 0.0, Mean Loss: 7.485288651263128, Number of Steps: 122
Episode 44, Reward: 0.0, Mean Loss: 7.48948995793452, Number of Steps: 122
Episode 45, Reward: 0.0, Mean Loss: 7.515683838578521, Number of Steps: 122
Episode 46, Reward: 0.0, Mean Loss: 7.515099912393288, Number of Steps: 122
Episode 47, Reward: 0.0, Mean Loss: 7.499752963175539, Number of Steps: 122
Episode 48, Reward: 0.0, Mean Loss: 7.483012578526481, Number of Steps: 122
Episode 49, Reward: 0.0, Mean Loss: 7.505883373197962, Number of Steps: 122
Episode 50, Reward: 0.0, Mean Loss: 7.517202353868329, Number of Steps: 122
Episode 51, Reward: 0.0, Mean Loss: 7.486365834220511, Number of Steps: 122
Episode 52, Reward: 0.0, Mean Loss: 7.517695669267998, Number of Steps: 122
Episode 53, Reward: 0.0, Mean Loss: 7.502084833676697, Number of Steps: 122
Episode 54, Reward: 0.0, Mean Loss: 7.471875370525923, Number of Steps: 122
Episode 55, Reward: 0.0, Mean Loss: 7.517634446503686, Number of Steps: 122
Episode 56, Reward: 0.0, Mean Loss: 7.506444868494253, Number of Steps: 122
Episode 57, Reward: 0.0, Mean Loss: 7.491396098840432, Number of Steps: 122
Episode 58, Reward: 0.0, Mean Loss: 7.517341977260152, Number of Steps: 122
Episode 59, Reward: 0.0, Mean Loss: 7.519715461574617, Number of Steps: 122
Episode 60, Reward: 0.0, Mean Loss: 7.469534737164857, Number of Steps: 122
Episode 61, Reward: 0.0, Mean Loss: 7.5154593811660515, Number of Steps: 122
Episode 62, Reward: 0.0, Mean Loss: 7.515014753967035, Number of Steps: 122
Episode 63, Reward: 0.0, Mean Loss: 7.496119108356413, Number of Steps: 122
Episode 64, Reward: 0.0, Mean Loss: 7.502240165335233, Number of Steps: 122
Episode 65, Reward: 0.0, Mean Loss: 7.488663470158811, Number of Steps: 122
Episode 66, Reward: 0.0, Mean Loss: 7.4900240937217335, Number of Steps: 122
Episode 67, Reward: 0.0, Mean Loss: 7.485729201895292, Number of Steps: 122
Episode 68, Reward: 0.0, Mean Loss: 7.5195964789781415, Number of Steps: 122
Episode 69, Reward: 0.0, Mean Loss: 7.515183499602021, Number of Steps: 122
Episode 70, Reward: 0.0, Mean Loss: 7.503816975921881, Number of Steps: 122
Episode 71, Reward: 0.0, Mean Loss: 7.503718000943543, Number of Steps: 122
Episode 72, Reward: 0.0, Mean Loss: 7.503149126396805, Number of Steps: 122
Episode 73, Reward: 0.0, Mean Loss: 7.516472902454313, Number of Steps: 122
Episode 74, Reward: 0.0, Mean Loss: 7.522212735942153, Number of Steps: 122
Episode 75, Reward: 0.0, Mean Loss: 7.514185315272847, Number of Steps: 122
Episode 76, Reward: 0.0, Mean Loss: 7.487197664917493, Number of Steps: 122
Episode 77, Reward: 0.0, Mean Loss: 7.4864004948100105, Number of Steps: 122
Episode 78, Reward: 0.0, Mean Loss: 7.500593896772041, Number of Steps: 122
Episode 79, Reward: 0.0, Mean Loss: 7.505725137522964, Number of Steps: 122
Episode 80, Reward: 0.0, Mean Loss: 7.513463579240392, Number of Steps: 122
Episode 81, Reward: 0.0, Mean Loss: 7.484425783157349, Number of Steps: 122
Episode 82, Reward: 0.0, Mean Loss: 7.51927511418452, Number of Steps: 122
Episode 83, Reward: 0.0, Mean Loss: 7.516573495552188, Number of Steps: 122
Episode 84, Reward: 0.0, Mean Loss: 7.4995833224937565, Number of Steps: 122
Episode 85, Reward: 0.0, Mean Loss: 7.484692159246226, Number of Steps: 122
Episode 86, Reward: 0.0, Mean Loss: 7.517496280982846, Number of Steps: 122
Episode 87, Reward: 0.0, Mean Loss: 7.495995998382568, Number of Steps: 122
Episode 88, Reward: 0.0, Mean Loss: 7.484232097375588, Number of Steps: 122
Episode 89, Reward: 0.0, Mean Loss: 7.515966407588271, Number of Steps: 122
Episode 90, Reward: 0.0, Mean Loss: 7.484095757124854, Number of Steps: 122
Episode 91, Reward: 0.0, Mean Loss: 7.4879098446642764, Number of Steps: 122
Episode 92, Reward: 0.0, Mean Loss: 7.474539397192783, Number of Steps: 122
Episode 93, Reward: 0.0, Mean Loss: 7.48660457720522, Number of Steps: 122
Episode 94, Reward: 0.0, Mean Loss: 7.487337214047791, Number of Steps: 122
Episode 95, Reward: 0.0, Mean Loss: 7.518572826854518, Number of Steps: 122
Episode 96, Reward: 0.0, Mean Loss: 7.505897807293251, Number of Steps: 122
Episode 97, Reward: 0.0, Mean Loss: 7.519186262224541, Number of Steps: 122
Episode 98, Reward: 0.0, Mean Loss: 7.470609516393943, Number of Steps: 122
Episode 99, Reward: 0.0, Mean Loss: 7.5025456928816, Number of Steps: 122
Episode 100, Reward: 0.0, Mean Loss: 7.518336010760948, Number of Steps: 122
Episode 101, Reward: 0.0, Mean Loss: 7.486406005796839, Number of Steps: 122
Episode 102, Reward: 0.0, Mean Loss: 7.513705175431048, Number of Steps: 122
Episode 103, Reward: 0.0, Mean Loss: 7.502926724856017, Number of Steps: 122
Episode 104, Reward: 0.0, Mean Loss: 7.517610569469264, Number of Steps: 122
