A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1639684
Episode 1, Reward: 0.0, Mean Loss: 0.023228534115631073, Number of Steps: 122
each episode takes approx. 2.5171592235565186 seconds
Episode 2, Reward: 0.0, Mean Loss: 0.02329505444122631, Number of Steps: 122
Episode 3, Reward: 0.0, Mean Loss: 0.023447749708763888, Number of Steps: 122
Episode 4, Reward: 0.0, Mean Loss: 0.02297953139827396, Number of Steps: 122
Episode 5, Reward: 0.0, Mean Loss: 0.022268244571202304, Number of Steps: 122
Episode 6, Reward: 0.0, Mean Loss: 0.023320056375910024, Number of Steps: 122
Episode 7, Reward: 0.0, Mean Loss: 0.023195506730040567, Number of Steps: 122
Episode 8, Reward: 0.0, Mean Loss: 0.023282441539598294, Number of Steps: 122
Episode 9, Reward: 0.0, Mean Loss: 0.023319280205974853, Number of Steps: 122
Episode 10, Reward: 0.0, Mean Loss: 0.02288297720558342, Number of Steps: 122
Episode 11, Reward: 0.0, Mean Loss: 0.023144094704399383, Number of Steps: 122
Episode 12, Reward: 0.0, Mean Loss: 0.02323765680193901, Number of Steps: 122
Episode 13, Reward: 0.0, Mean Loss: 0.023085915945020893, Number of Steps: 122
Episode 14, Reward: 0.0, Mean Loss: 0.023348621642369716, Number of Steps: 122
Episode 15, Reward: 0.0, Mean Loss: 0.023402355916675974, Number of Steps: 122
Episode 16, Reward: 0.0, Mean Loss: 0.02324421141968399, Number of Steps: 122
Episode 17, Reward: 0.0, Mean Loss: 0.023257381072459688, Number of Steps: 122
Episode 18, Reward: 0.0, Mean Loss: 0.023405719383979468, Number of Steps: 122
Episode 19, Reward: 0.0, Mean Loss: 0.023550390937655676, Number of Steps: 122
Episode 20, Reward: 0.0, Mean Loss: 0.02350527402318892, Number of Steps: 122
Episode 21, Reward: 0.0, Mean Loss: 0.02311464834571377, Number of Steps: 122
Episode 22, Reward: 0.0, Mean Loss: 0.02298761306442206, Number of Steps: 122
Episode 23, Reward: 0.0, Mean Loss: 0.02325323482089844, Number of Steps: 122
Episode 24, Reward: 0.0, Mean Loss: 0.022900553274428335, Number of Steps: 122
Episode 25, Reward: 0.0, Mean Loss: 0.023156137651879318, Number of Steps: 122
Episode 26, Reward: 0.0, Mean Loss: 0.02329359229531933, Number of Steps: 122
Episode 27, Reward: 0.0, Mean Loss: 0.023104184985849777, Number of Steps: 122
Episode 28, Reward: 0.0, Mean Loss: 0.02321100041087045, Number of Steps: 122
Episode 29, Reward: 0.0, Mean Loss: 0.02322973195259692, Number of Steps: 122
Episode 30, Reward: 0.0, Mean Loss: 0.023341114419039157, Number of Steps: 122
Episode 31, Reward: 0.0, Mean Loss: 0.022577566669974285, Number of Steps: 122
Episode 32, Reward: 0.0, Mean Loss: 0.023291553477527666, Number of Steps: 122
Episode 33, Reward: 0.0, Mean Loss: 0.023041891410863827, Number of Steps: 122
Episode 34, Reward: 0.0, Mean Loss: 0.023227236829087384, Number of Steps: 122
Episode 35, Reward: 0.0, Mean Loss: 0.023338204417683063, Number of Steps: 122
Episode 36, Reward: 0.0, Mean Loss: 0.0232440407162954, Number of Steps: 122
Episode 37, Reward: 0.0, Mean Loss: 0.023255720509041566, Number of Steps: 122
Episode 38, Reward: 0.0, Mean Loss: 0.023121186489736486, Number of Steps: 122
Episode 39, Reward: 0.0, Mean Loss: 0.023124545999276873, Number of Steps: 122
Episode 40, Reward: 0.0, Mean Loss: 0.023097658533336726, Number of Steps: 122
Episode 41, Reward: 0.0, Mean Loss: 0.023297507392212015, Number of Steps: 122
Episode 42, Reward: 0.0, Mean Loss: 0.0229568664725492, Number of Steps: 122
Episode 43, Reward: 0.0, Mean Loss: 0.02294036780305581, Number of Steps: 122
Episode 44, Reward: 0.0, Mean Loss: 0.02334112663656477, Number of Steps: 122
Episode 45, Reward: 0.0, Mean Loss: 0.022675037260461203, Number of Steps: 122
Episode 46, Reward: 0.0, Mean Loss: 0.023189123082151215, Number of Steps: 122
Episode 47, Reward: 0.0, Mean Loss: 0.02281304757939995, Number of Steps: 122
Episode 48, Reward: 0.0, Mean Loss: 0.023216594193802505, Number of Steps: 122
Episode 49, Reward: 0.0, Mean Loss: 0.023187061069441624, Number of Steps: 122
Episode 50, Reward: 0.0, Mean Loss: 0.02335620544789756, Number of Steps: 122
Episode 51, Reward: 0.0, Mean Loss: 0.023167423373035758, Number of Steps: 122
Episode 52, Reward: 0.0, Mean Loss: 0.023149325775357582, Number of Steps: 122
Episode 53, Reward: 0.0, Mean Loss: 0.023169674043811775, Number of Steps: 122
Episode 54, Reward: 0.0, Mean Loss: 0.022901299233275434, Number of Steps: 122
Episode 55, Reward: 0.0, Mean Loss: 0.02331066246444577, Number of Steps: 122
Episode 56, Reward: 0.0, Mean Loss: 0.023005999704526135, Number of Steps: 122
Episode 57, Reward: 0.0, Mean Loss: 0.023467921407618483, Number of Steps: 122
Episode 58, Reward: 0.0, Mean Loss: 0.02304474728863751, Number of Steps: 122
Episode 59, Reward: 0.0, Mean Loss: 0.023419383501053832, Number of Steps: 122
Episode 60, Reward: 0.0, Mean Loss: 0.023128058963295905, Number of Steps: 122
Episode 61, Reward: 0.0, Mean Loss: 0.022984019972667382, Number of Steps: 122
Episode 62, Reward: 0.0, Mean Loss: 0.023378804860422847, Number of Steps: 122
Episode 63, Reward: 0.0, Mean Loss: 0.022869733886718827, Number of Steps: 122
Episode 64, Reward: 0.0, Mean Loss: 0.023162473668368176, Number of Steps: 122
Episode 65, Reward: 0.0, Mean Loss: 0.0230290565067677, Number of Steps: 122
Episode 66, Reward: 0.0, Mean Loss: 0.02298821541638167, Number of Steps: 122
Episode 67, Reward: 0.0, Mean Loss: 0.02313869857559931, Number of Steps: 122
Episode 68, Reward: 0.0, Mean Loss: 0.02289879162434191, Number of Steps: 122
Episode 69, Reward: 0.0, Mean Loss: 0.02318422840185345, Number of Steps: 122
Episode 70, Reward: 0.0, Mean Loss: 0.022870261897356824, Number of Steps: 122
Episode 71, Reward: 0.0, Mean Loss: 0.023005954973966448, Number of Steps: 122
Episode 72, Reward: 0.0, Mean Loss: 0.02315559533205681, Number of Steps: 122
Episode 73, Reward: 0.0, Mean Loss: 0.02329182463326419, Number of Steps: 122
Episode 74, Reward: 0.0, Mean Loss: 0.023348340673036264, Number of Steps: 122
Episode 75, Reward: 0.0, Mean Loss: 0.02295328530823606, Number of Steps: 122
Episode 76, Reward: 0.0, Mean Loss: 0.023403337469599286, Number of Steps: 122
Episode 77, Reward: 0.0, Mean Loss: 0.022827237897188036, Number of Steps: 122
Episode 78, Reward: 0.0, Mean Loss: 0.02317555271984616, Number of Steps: 122
Episode 79, Reward: 0.0, Mean Loss: 0.02319320274832311, Number of Steps: 122
Episode 80, Reward: 0.0, Mean Loss: 0.023081606505181044, Number of Steps: 122
Episode 81, Reward: 0.0, Mean Loss: 0.02317629614081539, Number of Steps: 122
Episode 82, Reward: 0.0, Mean Loss: 0.022994107482086516, Number of Steps: 122
Episode 83, Reward: 0.0, Mean Loss: 0.02319686610984509, Number of Steps: 122
Episode 84, Reward: 0.0, Mean Loss: 0.02327375889557307, Number of Steps: 122
Episode 85, Reward: 0.0, Mean Loss: 0.02299908853110239, Number of Steps: 122
Episode 86, Reward: 0.0, Mean Loss: 0.023221735021535527, Number of Steps: 122
Episode 87, Reward: 0.0, Mean Loss: 0.022841381560700952, Number of Steps: 122
Episode 88, Reward: 0.0, Mean Loss: 0.023526092395797126, Number of Steps: 122
Episode 89, Reward: 0.0, Mean Loss: 0.023363234627930843, Number of Steps: 122
Episode 90, Reward: 0.0, Mean Loss: 0.023445490533944038, Number of Steps: 122
Episode 91, Reward: 0.0, Mean Loss: 0.022699052722600754, Number of Steps: 122
Episode 92, Reward: 0.0, Mean Loss: 0.023343540102121283, Number of Steps: 122
Episode 93, Reward: 0.0, Mean Loss: 0.02340719039689322, Number of Steps: 122
Episode 94, Reward: 0.0, Mean Loss: 0.023263616628251153, Number of Steps: 122
Episode 95, Reward: 0.0, Mean Loss: 0.023423306124865033, Number of Steps: 122
Episode 96, Reward: 0.0, Mean Loss: 0.023368658497929573, Number of Steps: 122
Episode 97, Reward: 0.0, Mean Loss: 0.023174897084021217, Number of Steps: 122
Episode 98, Reward: 0.0, Mean Loss: 0.023142336608200777, Number of Steps: 122
Episode 99, Reward: 0.0, Mean Loss: 0.023181843651161858, Number of Steps: 122
Episode 100, Reward: 0.0, Mean Loss: 0.023009681394066065, Number of Steps: 122
Episode 101, Reward: 0.0, Mean Loss: 0.022789342259486266, Number of Steps: 122
Episode 102, Reward: 0.0, Mean Loss: 0.022985418547817018, Number of Steps: 122
Episode 103, Reward: 0.0, Mean Loss: 0.023211123574464046, Number of Steps: 122
Episode 104, Reward: 0.0, Mean Loss: 0.02333415046212126, Number of Steps: 122
Episode 105, Reward: 0.0, Mean Loss: 0.02315165106227171, Number of Steps: 122
Episode 106, Reward: 0.0, Mean Loss: 0.023453880513667084, Number of Steps: 122
Episode 107, Reward: 0.0, Mean Loss: 0.02294616030885067, Number of Steps: 122
Episode 108, Reward: 0.0, Mean Loss: 0.023020124466771062, Number of Steps: 122
Episode 109, Reward: 0.0, Mean Loss: 0.022930898771623194, Number of Steps: 122
Episode 110, Reward: 0.0, Mean Loss: 0.023132124403539327, Number of Steps: 122
Episode 111, Reward: 0.0, Mean Loss: 0.023307968053172846, Number of Steps: 122
Episode 112, Reward: 0.0, Mean Loss: 0.0233060156533611, Number of Steps: 122
Episode 113, Reward: 0.0, Mean Loss: 0.023145783616260428, Number of Steps: 122
Episode 114, Reward: 0.0, Mean Loss: 0.023418051663969385, Number of Steps: 122
Episode 115, Reward: 0.0, Mean Loss: 0.023051959267444334, Number of Steps: 122
Episode 116, Reward: 0.0, Mean Loss: 0.023037735016736942, Number of Steps: 122
Episode 117, Reward: 0.0, Mean Loss: 0.023196992941117715, Number of Steps: 122
Episode 118, Reward: 0.0, Mean Loss: 0.023393537727047185, Number of Steps: 122
Episode 119, Reward: 0.0, Mean Loss: 0.023043388672212145, Number of Steps: 122
Episode 120, Reward: 0.0, Mean Loss: 0.023446850661860138, Number of Steps: 122
Episode 121, Reward: 0.0, Mean Loss: 0.023096165180489705, Number of Steps: 122
Episode 122, Reward: 0.0, Mean Loss: 0.023442836142465718, Number of Steps: 122
Episode 123, Reward: 0.0, Mean Loss: 0.02327607907965535, Number of Steps: 122
Episode 124, Reward: 0.0, Mean Loss: 0.022730025503718578, Number of Steps: 122
Episode 125, Reward: 0.0, Mean Loss: 0.023176733056702613, Number of Steps: 122
Episode 126, Reward: 0.0, Mean Loss: 0.023204503275576185, Number of Steps: 122
Episode 127, Reward: 0.0, Mean Loss: 0.022842717012743558, Number of Steps: 122
Episode 128, Reward: 0.0, Mean Loss: 0.023124849289816948, Number of Steps: 122
Episode 129, Reward: 0.0, Mean Loss: 0.02330963968558878, Number of Steps: 122
Episode 130, Reward: 0.0, Mean Loss: 0.02281227892111571, Number of Steps: 122
Episode 131, Reward: 0.0, Mean Loss: 0.023247308543998726, Number of Steps: 122
Episode 132, Reward: 0.0, Mean Loss: 0.023372261189535014, Number of Steps: 122
Episode 133, Reward: 0.0, Mean Loss: 0.02305482007664739, Number of Steps: 122
Episode 134, Reward: 0.0, Mean Loss: 0.0233186096197269, Number of Steps: 122
Episode 135, Reward: 0.0, Mean Loss: 0.023062808610538027, Number of Steps: 122
Episode 136, Reward: 0.0, Mean Loss: 0.023443038560083656, Number of Steps: 122
Episode 137, Reward: 0.0, Mean Loss: 0.022874478425603497, Number of Steps: 122
Episode 138, Reward: 0.0, Mean Loss: 0.023280754456388168, Number of Steps: 122
